epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,229.004,0.40082,0.50511,0.26975,0.77965,0.99112,0.99134,0.99491,0.94013,0.99112,0.99134,0.99491,0.78144,0.36127,0.58351,0.25088,0.78646,0.000832533,0.000832533,0.000832533
90,231.761,0.41622,0.50067,0.26876,0.78522,1,0.9866,0.99496,0.94053,1,0.9866,0.99496,0.77474,0.36781,0.58918,0.24521,0.78799,0.000819267,0.000819267,0.000819267
91,234.239,0.42278,0.50166,0.27156,0.7846,1,0.99008,0.995,0.93948,1,0.99008,0.995,0.78231,0.35225,0.56936,0.24714,0.78787,0.000806,0.000806,0.000806
92,236.62,0.40802,0.48759,0.26572,0.78694,0.99131,0.98714,0.99491,0.94224,0.99131,0.98714,0.99491,0.7617,0.34586,0.56707,0.25449,0.78522,0.000792733,0.000792733,0.000792733
93,239.121,0.42086,0.49364,0.2677,0.78709,0.9984,0.98701,0.99483,0.9377,0.99372,0.98268,0.99232,0.7648,0.35549,0.59235,0.25151,0.78522,0.000779467,0.000779467,0.000779467
94,241.513,0.42409,0.51223,0.27605,0.78608,0.99133,0.98944,0.99487,0.93934,0.98699,0.98511,0.99188,0.77039,0.35433,0.57483,0.25295,0.78457,0.0007662,0.0007662,0.0007662
95,244.25,0.40677,0.49073,0.2699,0.78222,0.99133,0.98998,0.99487,0.9479,0.987,0.98565,0.99292,0.77266,0.34936,0.56303,0.25267,0.78501,0.000752933,0.000752933,0.000752933
96,246.864,0.41493,0.49421,0.26994,0.78499,0.98712,0.99552,0.99487,0.94713,0.98712,0.99552,0.99487,0.78826,0.35268,0.56469,0.24805,0.78465,0.000739667,0.000739667,0.000739667
97,249.391,0.40569,0.48413,0.26751,0.78592,0.99137,0.99483,0.99487,0.94442,0.98706,0.9905,0.99355,0.78386,0.34449,0.55381,0.24499,0.78395,0.0007264,0.0007264,0.0007264
98,252.053,0.401,0.50289,0.26129,0.78698,0.99957,0.98701,0.99496,0.94141,0.99519,0.98268,0.99364,0.79125,0.35611,0.58243,0.248,0.78472,0.000713133,0.000713133,0.000713133
99,254.734,0.40521,0.48766,0.26553,0.78159,0.99533,0.99567,0.995,0.93781,0.991,0.99134,0.99361,0.783,0.3496,0.57235,0.24423,0.78448,0.000699867,0.000699867,0.000699867
100,257.161,0.40386,0.47714,0.26257,0.77548,1,0.99545,0.995,0.94468,0.99565,0.99114,0.99357,0.77348,0.34736,0.57072,0.24364,0.7855,0.0006866,0.0006866,0.0006866
101,259.588,0.39383,0.47421,0.25994,0.78082,0.9997,0.99134,0.995,0.94217,0.9997,0.99134,0.995,0.77111,0.35272,0.56702,0.24089,0.78652,0.000673333,0.000673333,0.000673333
102,262.142,0.41101,0.49631,0.26692,0.78399,1,0.99529,0.995,0.94751,0.99565,0.99096,0.99361,0.76713,0.34278,0.53752,0.24262,0.78503,0.000660067,0.000660067,0.000660067
103,264.499,0.39341,0.48557,0.26036,0.77817,0.99968,0.99134,0.995,0.9405,0.99968,0.99134,0.995,0.76204,0.34519,0.57109,0.24196,0.78573,0.0006468,0.0006468,0.0006468
104,267.175,0.40685,0.50886,0.26444,0.7865,0.99974,0.99134,0.995,0.95142,0.99974,0.99134,0.995,0.77965,0.33975,0.56661,0.24292,0.7855,0.000633533,0.000633533,0.000633533
105,269.571,0.39899,0.4893,0.26099,0.7819,0.99985,0.99134,0.995,0.94498,0.99985,0.99134,0.995,0.77734,0.34405,0.5857,0.24418,0.78588,0.000620267,0.000620267,0.000620267
106,271.96,0.40473,0.50255,0.2635,0.78502,0.99985,0.99134,0.995,0.94454,0.99985,0.99134,0.995,0.78045,0.34763,0.59304,0.24382,0.78605,0.000607,0.000607,0.000607
107,274.33,0.39747,0.48343,0.2575,0.78528,0.99981,0.99134,0.995,0.94755,0.99981,0.99134,0.995,0.77825,0.33697,0.56874,0.24183,0.78546,0.000593733,0.000593733,0.000593733
108,276.981,0.40471,0.47847,0.26236,0.78485,0.99992,0.99134,0.995,0.94477,0.99992,0.99134,0.995,0.78258,0.33705,0.56367,0.24041,0.78438,0.000580467,0.000580467,0.000580467
109,279.41,0.41906,0.49073,0.26856,0.77835,1,0.99126,0.995,0.94074,1,0.99126,0.995,0.7721,0.34589,0.58674,0.24011,0.7852,0.0005672,0.0005672,0.0005672
110,281.834,0.39004,0.48564,0.2573,0.78848,0.99196,0.99134,0.99496,0.94269,0.98763,0.98701,0.99391,0.77969,0.34411,0.55494,0.24225,0.78421,0.000553933,0.000553933,0.000553933
111,284.222,0.39597,0.49074,0.25946,0.78356,0.99736,0.99134,0.995,0.9395,0.99292,0.98701,0.99391,0.78648,0.3431,0.5467,0.23731,0.78418,0.000540667,0.000540667,0.000540667
112,286.782,0.41459,0.48916,0.26381,0.78564,0.99831,0.99134,0.995,0.93955,0.99831,0.99134,0.995,0.78413,0.33784,0.54695,0.23416,0.78283,0.0005274,0.0005274,0.0005274
113,289.137,0.39031,0.48223,0.25544,0.78396,1,0.99443,0.995,0.94393,1,0.99443,0.995,0.79103,0.34348,0.55185,0.23704,0.78351,0.000514133,0.000514133,0.000514133
114,291.509,0.39398,0.49387,0.25804,0.78234,1,0.99567,0.995,0.94598,1,0.99567,0.995,0.78412,0.34104,0.57165,0.2333,0.78349,0.000500867,0.000500867,0.000500867
115,293.946,0.39439,0.47697,0.25544,0.7845,0.99989,0.99567,0.995,0.94814,0.99989,0.99567,0.995,0.7899,0.33602,0.55907,0.23293,0.78307,0.0004876,0.0004876,0.0004876
116,296.496,0.40182,0.49079,0.2548,0.7856,0.99709,0.99134,0.995,0.94483,0.99709,0.99134,0.995,0.79143,0.34315,0.57952,0.23875,0.78505,0.000474333,0.000474333,0.000474333
